Processed at: 11/7/2022 12:03:22 AM

Course_Code|Enrolled|Completed|Fail/Drop
PROG00|2|6|5
PROG01|4|3|1
PROG02|2|1|3
PROG03|7|4|4
PROG04|1|3|5
PROG05|1|2|2
PROG06|3|5|3
PROG07|2|0|1
PROG08|5|5|6
PROG09|2|3|4
PROG10|5|3|3
PROG11|3|7|7
PROG12|1|2|7
PROG13|6|2|2
PROG14|3|6|1
PROG15|4|2|2
PROG16|3|3|5
PROG17|3|5|4
PROG18|2|1|6
PROG19|1|1|4
PROG20|3|2|5
PROG21|5|8|2
PROG22|3|2|4
PROG23|1|3|3
PROG24|5|3|3
PROG25|2|2|0
PROG26|1|1|5
PROG27|8|4|7
PROG28|3|3|4
PROG29|5|2|3
PROG30|2|3|6
PROG31|3|5|3
PROG32|3|8|2
PROG33|5|4|5
PROG34|7|5|2
PROG35|1|1|2
PROG36|6|2|3
PROG37|2|5|2
PROG38|1|2|1
PROG39|4|2|3
PROG40|5|3|6
PROG41|1|5|3
PROG42|3|2|4
PROG43|4|3|2
PROG44|5|3|3
PROG45|1|3|1
PROG46|2|2|4
PROG47|2|3|2
PROG48|4|3|4
PROG49|3|4|2
PROG50|2|1|3
PROG51|3|9|4
PROG52|3|1|4
PROG53|4|5|4
PROG54|8|5|6
PROG55|3|1|1
PROG56|2|2|2
PROG57|4|5|1
PROG58|3|5|3
PROG59|5|3|3
PROG60|5|2|5
PROG61|3|1|5
PROG62|4|2|3
PROG63|3|3|1
PROG64|5|3|2
PROG65|3|4|8
PROG66|2|5|4
PROG67|5|4|2
PROG68|8|2|5
PROG69|5|2|3
PROG70|1|2|3
PROG71|2|2|5
PROG72|8|2|3
PROG73|4|2|5
PROG74|3|2|1
PROG75|3|2|4
PROG76|2|2|1
PROG77|4|2|5
PROG78|2|4|2
PROG79|4|1|5
PROG80|2|3|4
PROG81|2|0|3
PROG82|2|3|3
PROG83|5|5|3
PROG84|3|5|6
PROG85|3|2|3
PROG86|4|4|7
PROG87|1|3|2
PROG88|3|3|1
PROG89|6|5|3
PROG90|6|4|2
PROG91|3|1|2
PROG92|2|2|8
PROG93|5|5|6
PROG94|4|3|4
PROG95|5|5|1
PROG96|3|0|2
PROG97|4|2|3
PROG98|6|2|6
PROG99|4|3|3
